"","id","use","flag","text"
"1","C2317","Aggregate Extraction","No","
							 
						"
"2","C2317","Bait Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"3","C2317","Bait Fishing, New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
"4","C2317","Bear Hunting by Non-residents (guided), Existing","Yes","Existing authorized operations permitted to continue."
"5","C2317","Bear Hunting by Non-residents (guided), New","No","New operations not permitted."
"6","C2317","Commercial Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"7","C2317","Commercial Fishing, New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
"8","C2317","Commercial Fur Harvesting, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts.  Existing trap cabins can continue."
"9","C2317","Commercial Fur Harvesting, New","Maybe","New cabins are not permitted.  New operations can be considered, subject to the 'test of compatibility'."
"10","C2317","Commercial Hydro Development","No","
							 
						"
"11","C2317","Commercial Power Generation Development","No","
							 
						"
"12","C2317","Commercial Timber Harvest","No","
							 
						"
"13","C2317","Commercial Tourism (Services and/or Facilities), Existing","Yes","Existing authorized facilities can continue, unless there are significant demonstrated conflicts."
"14","C2317","Commercial Tourism (Services and/or Facilities), New","Maybe","New tourism facilities can be considered during the planning for an individual reserve."
"15","C2317","Energy Transmission and Communications Corridors, Existing","Yes","These facilities should avoid conservation reserve lands wherever possible."
"16","C2317","Energy Transmission and Communications Corridors, New","No","
							 
						"
"17","C2317","Food Harvest (Commercial), Existing","Maybe","
							 
						"
"18","C2317","Food Harvest (Commercial), New","Maybe","
							 
						"
"19","C2317","Mineral Exploration and Development","No","
							 
						"
"20","C2317","Peat Extraction","No","
							 
						"
"21","C2317","Wild Rice Harvesting, Existing","Yes","
							 
						"
"22","C2317","Wild Rice Harvesting, New","Maybe","
							 
						"
"23","C2317","Crown Land Disposition, Commercial or Public Use","Maybe","Sale of lands is not permitted, except for minor dispositions in support of existing uses (e.g., reconstruction of a septic system).  Renewals of existing leases and land use permits are permitted.  Requests for transfer of tenure will be considered in the context of the Statement of Conservation Interest or Resource Management Plan.  New leases or land use permits permitted for approved activities.  Tourism facilities can apply to upgrade tenure from LUP to lease."
"24","C2317","Crown Land Disposition, Private Use","Maybe","Sale of lands is not permitted, except for minor dispositions in support of existing uses (e.g., reconstruction of a septic system).  Renewals of existing leases and land use permits are permitted.  Requests for transfer of tenure will be considered in the context of the Statement of Conservation Interest or Resource Management Plan.  New leases or land use permits permitted for approved activities.  Existing authorized seasonal recreation camps may be eligible for enhanced tenure, but not purchase of land."
"25","C2317","Fire Suppression","Yes","Fire suppression policies are similar to adjacent Crown lands, unless alternative fire policies have been developed through a planning process"
"26","C2317","Fish Habitat Management","Maybe","
							 
						"
"27","C2317","Fish Stocking, Native Species","Maybe","Conservation Reserves policy indicates that 'featured species management' may be permitted."
"28","C2317","Insect/disease Suppression","Maybe","
							 
						"
"29","C2317","Inventory/Monitoring","Yes","
							 
						"
"30","C2317","Prescribed Burning","Maybe","
							 
						"
"31","C2317","Private Recreation Camp, Existing","Yes","Existing camps permitted to continue, and may be eligible for enhanced tenure, but not purchase of land."
"32","C2317","Private Recreation Camp, New","No","
							 
						"
"33","C2317","Road Development and Maintenance, Existing","Yes","Existing roads can continue to be used.  Continued use will include maintenance and may include future upgrading."
"34","C2317","Road Development and Maintenance, New","Maybe","New roads for resource extraction will not be permitted, with the exception of necessary access to existing forest reserves for mineral exploration and development"
"35","C2317","Vegetation Management","Maybe","Conservation Reserves policy indicates that Featured Species Management and Natural Systems Management may be permitted.  Vegetation management can be considered in a planning process"
"36","C2317","Wildlife Population Management","Maybe","
							 
						"
"37","C2317","All Terrain Vehicle Use, Off Trails","No","ATV off trails is not permitted except for direct retrieval of game."
"38","C2317","All Terrain Vehicle Use, On Trails","Yes","Existing use permitted to continue where it does not adversely affect the values being protected."
"39","C2317","Campgrounds","Maybe","
							 
						"
"40","C2317","Food Gathering","Yes","
							 
						"
"41","C2317","Horseback Riding (trail)","Yes","Existing use on trails permitted."
"42","C2317","Hunting","Yes","Hunting is permitted in accordance with the Fish and Wildlife Conservation Act and regulations.  For more information, visit https://www.ontario.ca/hunting.  Some municipalities have by-laws that apply to hunting including restricting the discharge of firearms. Check with the local municipal office for details."
"43","C2317","Motor Boat Use, Commercial","Yes","
							 
						"
"44","C2317","Motor Boat Use, Private","Yes","
							 
						"
"45","C2317","Mountain Bike Use","Yes","Existing use on trails permitted."
"46","C2317","Non-motorized Recreation Travel","Yes","
							 
						"
"47","C2317","Rock Climbing","Maybe","
							 
						"
"48","C2317","Snowmobiling, Off Trails","No","Except for the direct retrieval of game."
"49","C2317","Snowmobiling, On Trails","Yes","
							 
						"
"50","C2317","Sport Fishing","Yes","Recreational fishing is permitted in accordance with the Ontario Fishery Regulations. For more information, visit https://www.ontario.ca/fishing and review the Ontario Recreational Fishing Regulations Summary or Fish ON-Line to determine the seasons, catch limits and other restrictions that apply in this area including the location of fish sanctuaries."
"51","C2317","Trail Development, Existing","Yes","Existing authorized trails (e.g. hiking, skiing, snowmobiling) can continue unless there are significant demonstrated conflicts."
"52","C2317","Trail Development, New","Maybe","Development of trails for a variety of activities (e.g., hiking, cross-country skiing, cycling, horseback riding, snowmobiling) can be considered as part of planning for an individual reserve"
"53","C1613","Aggregate Extraction","No","
							 
						"
"54","C1613","Bait Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"55","C1613","Bait Fishing, New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
"56","C1613","Bear Hunting by Non-residents (guided), Existing","Yes","Existing authorized operations permitted to continue."
"57","C1613","Bear Hunting by Non-residents (guided), New","No","New operations not permitted."
"58","C1613","Commercial Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"59","C1613","Commercial Fishing, New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
